#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.52646     7.52646           0
           2     7.63848     7.58247   0.0396027
           3     7.49158     7.55217   0.0361792
           4     7.53711     7.54841   0.0273296
           5     7.61269     7.56127   0.0247034
           6     7.61496     7.57021   0.0221478
           7     7.50983     7.56159   0.0205953
           8     7.60845     7.56745   0.0188356
           9     7.54882     7.56538    0.016856
          10     7.70707     7.57955   0.0202688
          11     7.61756       7.583   0.0187184
          12     7.67168     7.59039   0.0185602
          13     7.58966     7.59034   0.0171326
          14     7.70717     7.59868   0.0178258
          15     7.53092     7.59416   0.0172003
          16     7.46073     7.58582   0.0180341
          17     7.53303     7.58272   0.0172386
          18      7.4455     7.57509   0.0178873
          19     7.60745      7.5768   0.0170267
          20     7.70627     7.58327   0.0173625
          21     7.45491     7.57716   0.0175788
          22     7.55718     7.57625   0.0168032
          23     7.56655     7.57583   0.0160779
          24     7.49661     7.57253   0.0157432
          25     7.58998     7.57323   0.0151289
          26     7.69202     7.57779   0.0152213
          27     7.57288     7.57761   0.0146587
          28     7.63592      7.5797   0.0142823
          29      7.6108     7.58077     0.01383
          30     7.54533     7.57959   0.0134194
          31     7.56501     7.57912   0.0129947
          32     7.62578     7.58057   0.0126702
          33     7.53416     7.57917   0.0123641
          34     7.57135     7.57894   0.0120026
          35     7.59963     7.57953   0.0116742
          36     7.66373     7.58187   0.0115818
          37     7.62361       7.583   0.0113236
          38     7.65868     7.58499   0.0111994
          39     7.63967     7.58639   0.0109996
          40      7.6944     7.58909   0.0110511
          41     7.64404     7.59043   0.0108625
          42     7.58566     7.59032   0.0106045
          43     7.53198     7.58896   0.0104443
          44     7.60234     7.58926   0.0102114
          45     7.63929     7.59038   0.0100448
          46     7.61204     7.59085  0.00983743
          47     7.60452     7.59114  0.00963242
          48     7.57275     7.59075  0.00943936
          49     7.62299     7.59141  0.00926962
          50     7.70846     7.59375  0.00937516
