#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.35879    -6.35879           0
           2    -6.33877    -6.34878  0.00707924
           3     -6.3659    -6.35449  0.00663253
           4    -6.35705    -6.35513  0.00500521
           5    -6.34261    -6.35262  0.00458723
           6     -6.3425    -6.35094  0.00412152
           7    -6.36191     -6.3525  0.00381945
           8    -6.34287     -6.3513  0.00352689
           9    -6.35517    -6.35173  0.00316119
          10    -6.32548    -6.34911   0.0037807
          11    -6.34319    -6.34857  0.00347506
          12    -6.33131    -6.34713  0.00347019
          13    -6.34619    -6.34706    0.003204
          14    -6.32675    -6.34561  0.00328709
          15     -6.3578    -6.34642  0.00316682
          16    -6.37073    -6.34794   0.0033135
          17    -6.35838    -6.34855    0.003175
          18    -6.37294    -6.34991  0.00327499
          19    -6.34459    -6.34963  0.00311455
          20    -6.32504     -6.3484   0.0031922
          21    -6.37141    -6.34949  0.00322273
          22    -6.35221    -6.34962  0.00307861
          23    -6.35199    -6.34972  0.00294649
          24    -6.36336    -6.35029    0.002878
          25    -6.34828    -6.35021  0.00276401
          26    -6.32943    -6.34941  0.00277089
          27    -6.35016    -6.34944   0.0026684
          28    -6.33875    -6.34906  0.00260027
          29    -6.34372    -6.34887  0.00251711
          30    -6.35527    -6.34909  0.00244223
          31    -6.35247    -6.34919  0.00236588
          32     -6.3409    -6.34894  0.00230609
          33    -6.35734    -6.34919  0.00225022
          34     -6.3499    -6.34921  0.00218413
          35    -6.34462    -6.34908  0.00212566
          36    -6.33405    -6.34866  0.00210724
          37    -6.34037    -6.34844  0.00206218
          38    -6.33474    -6.34808  0.00203918
          39    -6.33748    -6.34781  0.00200493
          40    -6.32794    -6.34731  0.00201537
          41    -6.33641    -6.34704  0.00198369
          42    -6.34817    -6.34707  0.00193664
          43    -6.35799    -6.34732  0.00190817
          44    -6.34476    -6.34727  0.00186569
          45    -6.33764    -6.34705  0.00183644
          46    -6.34395    -6.34698  0.00179776
          47    -6.34371    -6.34691  0.00176086
          48    -6.35022    -6.34698  0.00172552
          49    -6.34213    -6.34688  0.00169314
          50    -6.32722    -6.34649  0.00170435
