#     BLOCK:    ACTUAL_PE:     PE_AVE:      ERROR: 
              1      -0.440026      -0.440026              0
              2      -0.444412      -0.442219     0.00155092
              3      -0.444361      -0.442933     0.00118703
              4      -0.433077      -0.440469     0.00231208
              5      -0.436185      -0.439612     0.00200217
              6      -0.426441      -0.437417      0.0026076
              7      -0.445724      -0.438604     0.00249054
              8      -0.432675      -0.437863     0.00228684
              9      -0.444869      -0.438641     0.00216118
             10      -0.436012      -0.438378     0.00196098
             11      -0.435948      -0.438157     0.00179512
             12      -0.458576      -0.439859     0.00231554
             13       -0.44124      -0.439965     0.00213986
             14      -0.429828      -0.439241     0.00210597
             15      -0.457909      -0.440486     0.00230415
             16      -0.448885       -0.44101     0.00221913
             17       -0.43285       -0.44053     0.00213989
             18      -0.444516      -0.440752     0.00203242
             19       -0.44113      -0.440772     0.00192555
             20      -0.441883      -0.440827     0.00183008
             21      -0.449244      -0.441228     0.00178627
             22       -0.45004      -0.441629     0.00174941
             23      -0.437526       -0.44145     0.00168242
             24      -0.428284      -0.440902     0.00169941
             25      -0.438366        -0.4408     0.00163446
             26      -0.431669      -0.440449     0.00160889
             27      -0.434944      -0.440245     0.00156217
             28      -0.443979      -0.440378     0.00151206
             29      -0.431558      -0.440074     0.00149019
             30      -0.445333       -0.44025     0.00145079
             31      -0.430101      -0.439922     0.00144045
             32      -0.443413      -0.440031     0.00139957
             33      -0.442065      -0.440093     0.00135851
             34      -0.449715      -0.440376     0.00134771
             35      -0.452057       -0.44071      0.0013499
             36       -0.42746      -0.440342     0.00136165
             37      -0.430065      -0.440064     0.00135288
             38      -0.447391      -0.440257     0.00133095
             39      -0.430385      -0.440004     0.00132067
             40      -0.440602      -0.440019     0.00128774
             41      -0.454343      -0.440368     0.00130286
             42      -0.447532      -0.440539     0.00128296
             43      -0.443794      -0.440614     0.00125536
             44      -0.432612      -0.440432     0.00123993
             45      -0.423384      -0.440054     0.00126893
             46      -0.444427      -0.440149     0.00124491
             47      -0.442833      -0.440206     0.00121973
             48      -0.438865      -0.440178     0.00119464
             49      -0.442686      -0.440229     0.00117135
             50      -0.441553      -0.440255     0.00114822
