#     BLOCK:    ACTUAL_PE:     PE_AVE:      ERROR: 
              1       0.290555       0.290555              0
              2       0.275728       0.283142     0.00524189
              3       0.286794       0.284359     0.00363323
              4       0.263382       0.279115     0.00529633
              5        0.26756       0.276804     0.00471436
              6       0.276865       0.276814     0.00392864
              7       0.299515       0.280057     0.00451151
              8       0.270032       0.278804     0.00411793
              9       0.270013       0.277827     0.00377444
             10       0.280699       0.278114      0.0034079
             11       0.270947       0.277463     0.00315978
             12       0.272134       0.277019      0.0029275
             13       0.291719        0.27815     0.00291253
             14       0.276816       0.278054     0.00270605
             15       0.283725       0.278432     0.00255192
             16       0.268195       0.277792     0.00247133
             17       0.287049       0.278337     0.00238519
             18       0.282682       0.278578     0.00226486
             19       0.275473       0.278415     0.00215154
             20       0.265708        0.27778     0.00213571
             21       0.283319       0.278043     0.00205023
             22        0.26933       0.277647     0.00199493
             23       0.255227       0.276672     0.00213311
             24       0.269282       0.276365     0.00206633
             25       0.260695       0.275738     0.00207656
             26       0.276775       0.275778     0.00199708
             27        0.26249       0.275286     0.00198283
             28       0.284217       0.275604      0.0019375
             29       0.266543       0.275292     0.00189572
             30       0.294589       0.275935     0.00193858
             31       0.281311       0.276109     0.00188378
             32       0.277703       0.276158     0.00182557
             33       0.281325       0.276315     0.00177695
             34       0.288522       0.276674     0.00176058
             35       0.288731       0.277019     0.00174366
             36       0.270655       0.276842     0.00170416
             37       0.276181       0.276824      0.0016582
             38       0.280955       0.276933     0.00161812
             39       0.262094       0.276552     0.00162074
             40       0.295181       0.277018     0.00164578
             41       0.286277       0.277244     0.00162105
             42       0.299831       0.277781     0.00166928
             43       0.266238       0.277513      0.0016519
             44       0.285468       0.277694     0.00162422
             45       0.270516       0.277534     0.00159594
             46       0.281224       0.277614     0.00156326
             47       0.264047       0.277326     0.00155642
             48       0.279785       0.277377     0.00152484
             49       0.288689       0.277608      0.0015111
             50       0.285113       0.277758     0.00148831
