#     BLOCK:    ACTUAL_PE:     PE_AVE:      ERROR: 
              1       -0.73058       -0.73058              0
              2      -0.720141      -0.725361     0.00369097
              3      -0.731155      -0.727292     0.00292271
              4       -0.69646      -0.719584     0.00702607
              5      -0.703745      -0.716416     0.00629463
              6      -0.703306      -0.714231     0.00561199
              7      -0.745239      -0.718661     0.00632122
              8      -0.702707      -0.716667     0.00583717
              9      -0.714882      -0.716468     0.00519197
             10      -0.716711      -0.716493     0.00467283
             11      -0.706894       -0.71562     0.00432872
             12       -0.73071      -0.716878     0.00414663
             13      -0.732959      -0.718115     0.00400793
             14      -0.706643      -0.717295     0.00380449
             15      -0.741634      -0.718918     0.00388148
             16       -0.71708      -0.718803     0.00364058
             17      -0.719898      -0.718867       0.003427
             18      -0.727198       -0.71933     0.00326771
             19      -0.716603      -0.719187     0.00309888
             20      -0.707591      -0.718607     0.00299768
             21      -0.732562      -0.719271     0.00292767
             22       -0.71937      -0.719276      0.0027946
             23      -0.692753      -0.718123     0.00290128
             24      -0.697566      -0.717266     0.00290408
             25      -0.699061      -0.716538     0.00287776
             26      -0.708443      -0.716227     0.00278387
             27      -0.697433      -0.715531     0.00276641
             28      -0.728196      -0.715983     0.00270434
             29      -0.698101      -0.715366     0.00268046
             30      -0.739922      -0.716185     0.00271321
             31      -0.711412      -0.716031     0.00263005
             32      -0.721116       -0.71619     0.00255266
             33       -0.72339      -0.716408     0.00248461
             34      -0.738237       -0.71705     0.00249311
             35      -0.740788      -0.717728     0.00251244
             36      -0.698115      -0.717183     0.00250102
             37      -0.706247      -0.716888     0.00245083
             38      -0.728346      -0.717189     0.00240481
             39      -0.692479      -0.716556     0.00242518
             40      -0.735783      -0.717036     0.00241172
             41       -0.74062      -0.717612     0.00242052
             42      -0.747363       -0.71832     0.00246436
             43      -0.710032      -0.718127     0.00241457
             44       -0.71808      -0.718126      0.0023597
             45        -0.6939      -0.717588     0.00236788
             46      -0.725651      -0.717763     0.00232288
             47      -0.706881      -0.717532     0.00228497
             48       -0.71865      -0.717555     0.00223748
             49      -0.731375      -0.717837     0.00220952
             50      -0.726665      -0.718013     0.00217238
