#     Temp:      mu:     sigma:      H:
0.1            0.885536             1.06054            0.542087
0.0995            0.844194            0.958178           -0.025481
0.099            0.877812            0.844664           0.0740963
0.0985            0.944747            0.724389           -0.210092
0.098            0.931566            0.684411           -0.331662
0.0975            0.901084            0.718271           -0.321527
0.097            0.919289            0.719852           -0.293392
0.0965            0.979134            0.671927           -0.221823
0.096            0.972512             0.68812           -0.269536
0.0955            0.982046            0.760661           -0.140102
0.095             0.98328            0.794327           0.0488356
0.0945             1.00952            0.724165           -0.181479
0.094            0.985499            0.770808           -0.176453
0.0935             1.00635            0.741694          -0.0661308
0.093            0.953844             0.69501           -0.309481
0.0925            0.906768            0.628197           -0.380288
0.092            0.872161            0.587461           -0.355197
0.0915             0.82942             0.58098           -0.423059
0.091            0.843884            0.586094           -0.421367
0.0905            0.790163            0.691017           -0.406535
0.09            0.783632            0.798034           -0.207147
0.0895            0.702932            0.854865           -0.261236
0.089            0.744803            0.832115           -0.247073
0.0885             0.75963            0.827597           -0.260086
0.088            0.715014            0.818937           -0.287305
0.0875            0.755031            0.836616           -0.232787
0.087            0.683362            0.821483            -0.30169
0.0865            0.659553            0.854972           -0.261492
0.086             0.69572            0.839621           -0.309165
0.0855            0.712196            0.883993           -0.265208
0.085            0.815648            0.787743           -0.322514
0.0845            0.784033            0.656894           -0.421186
0.084            0.812355            0.620379           -0.442905
0.0835            0.776228            0.572288           -0.431485
0.083            0.858976            0.587454           -0.428744
0.0825            0.882705            0.526767           -0.336354
0.082            0.861754            0.571165           -0.404526
0.0815            0.914925            0.625306            -0.39355
0.081            0.894913            0.593177           -0.327663
0.0805            0.828851            0.590008            -0.42994
0.08            0.824688              0.5224           -0.173474
0.0795            0.800792            0.596027           -0.433279
0.079            0.821176            0.638452           -0.432266
0.0785            0.760072             0.56986           -0.409914
0.078             0.72839            0.600258           -0.429279
0.0775            0.672154            0.590206           -0.388261
0.077            0.728824            0.552962           -0.323884
0.0765            0.726858            0.562826           -0.349433
0.076            0.733737            0.527155           -0.347104
0.0755            0.734723              0.5534           -0.319971
0.075            0.815439            0.588221           -0.423959
0.0745             0.80781            0.597549             -0.4297
0.074            0.833125            0.692264           -0.384091
0.0735            0.799969            0.694248           -0.387149
0.073            0.742509            0.780244           -0.345875
0.0725            0.765842            0.737842           -0.360612
0.072            0.778009            0.713691           -0.415783
0.0715            0.732468            0.616785           -0.427703
0.071            0.704269            0.640651           -0.409011
0.0705            0.644339            0.637469           -0.367192
0.07            0.748297            0.656294            -0.42634
0.0695            0.720579            0.620021           -0.420478
0.069             0.74651            0.555939           -0.363265
0.0685            0.821825            0.617215           -0.448544
0.068            0.808184            0.681265           -0.415163
0.0675            0.805208            0.729074           -0.389478
0.067            0.871098             0.75754           -0.230355
0.0665            0.845225            0.832403           -0.161944
0.066            0.849585            0.883881          -0.0319146
0.0655            0.874455            0.791269           -0.200726
0.065            0.858235            0.733079            -0.40188
0.0645            0.880728            0.724132           -0.375672
0.064            0.869362            0.713411           -0.322086
0.0635            0.800718            0.702757           -0.382173
0.063            0.755135            0.610286           -0.434728
0.0625             0.76475            0.558592           -0.364512
0.062            0.808286            0.642162           -0.426847
0.0615            0.699494            0.659291           -0.394496
0.061            0.736024            0.649861           -0.422403
0.0605            0.791626            0.598238           -0.439969
0.06            0.856395            0.633109           -0.420702
0.0595            0.936483            0.653015           -0.261668
0.059            0.815417            0.653721           -0.429659
0.0585            0.744358            0.668652           -0.360115
0.058            0.700497            0.732752           -0.352571
0.0575            0.825189            0.651074           -0.428511
0.057            0.738275             0.50873           -0.341548
0.0565            0.735272            0.480174           -0.221505
0.056            0.800605            0.593009           -0.438325
0.0555            0.851101            0.601484           -0.431751
0.055            0.822983            0.594904           -0.404999
0.0545            0.849616            0.622294           -0.445661
0.054            0.883751            0.568258            -0.39827
0.0535            0.909897             0.55338            -0.38407
0.053             0.76447            0.520892           -0.363075
0.0525            0.762859            0.574033           -0.420947
0.052            0.801406            0.576734           -0.409948
0.0515            0.880599            0.640614            -0.41837
0.051            0.908269            0.588161            -0.35165
