# generation:     mean_loss:           best_loss:
1                  51.8561                  36.0938
2                  44.3752                  27.8993
3                  37.7667                  26.2731
4                  32.1255                  24.3304
5                  28.1261                  20.8934
6                  24.8324                  19.7455
7                  21.9796                  18.3877
8                  20.4703                  16.7512
9                  18.9139                  15.4813
10                  17.8302                  12.6747
11                  16.1156                  10.1691
12                  13.1919                  9.86558
13                  10.8315                  9.61708
14                  9.93914                  8.11262
15                  9.51369                  7.78644
16                  8.63319                  7.23836
17                  7.95107                  6.91403
18                  7.64255                  6.78027
19                  7.23252                  6.78027
20                  6.83492                  6.69922
21                  6.77266                  6.47705
22                  6.70192                  6.12412
23                  6.50165                  4.91458
24                  6.06006                  4.56313
25                  5.38118                  3.89428
26                  4.61312                  3.45075
27                  4.03192                   3.4354
28                  3.58769                  3.12987
29                  3.37076                  2.87955
30                  3.18124                  2.85725
31                  2.96765                  2.56529
32                  2.79642                    2.543
33                  2.64717                  2.52119
34                  2.54365                  2.46703
35                  2.51463                  2.46703
36                  2.48336                  2.45306
37                  2.46218                  2.45306
38                  2.45439                  2.45306
39                  2.45305                  2.44693
40                  2.45213                  2.44432
41                  2.44875                  2.43819
42                   2.4432                  2.43678
43                  2.43951                  2.43678
44                  2.43734                    2.413
45                  2.43349                   2.4116
46                  2.42175                  2.39723
47                  2.41532                  2.39723
48                  2.55125                  2.39723
49                  2.88664                  2.39723
50                  2.54351                  2.39723
51                  2.39723                  2.39723
52                  2.39723                  2.39723
53                  2.39723                  2.39723
54                  2.39723                  2.39723
55                  2.39723                  2.39723
56                  2.39722                  2.39614
57                  2.39701                  2.39614
58                  2.39646                  2.39614
59                  2.39609                  2.37096
60                  2.39189                  2.37096
61                  2.38035                  2.37096
62                  2.37096                  2.37096
63                  2.37096                  2.37096
64                  2.37096                  2.37096
65                  2.37096                  2.37096
66                  2.37096                  2.37096
67                  2.37096                  2.37096
68                  2.37096                  2.37096
69                  2.37096                  2.37096
70                  2.37096                  2.37096
71                  2.37096                  2.37096
72                  2.37096                  2.37096
73                  2.37096                  2.37096
74                  2.37096                  2.37096
75                  2.37096                  2.37096
76                  2.37096                  2.37096
77                  2.37096                  2.37096
78                  2.37096                  2.37096
79                  2.37096                  2.37096
80                  2.37096                  2.37096
81                  2.37096                  2.37096
82                  2.37096                  2.37096
83                  2.37096                  2.37096
84                  2.37096                  2.37096
85                  2.37096                  2.37096
86                  2.37096                  2.37096
87                  2.37096                  2.37096
88                  2.37096                  2.37096
89                  2.37096                  2.37096
90                  2.37096                  2.37096
91                  2.37096                  2.37096
92                  2.37096                  2.37096
93                  2.37096                  2.37096
94                  2.37096                  2.37096
95                  2.37096                  2.37096
96                  2.37096                  2.37096
97                  2.37096                  2.37096
98                  2.37096                  2.37096
99                  2.37096                  2.37096
100                  2.37096                  2.37096
101                  2.37096                  2.37096
102                  2.37096                  2.37096
103                  2.37096                  2.37096
104                  2.37096                  2.37096
105                  2.37096                  2.37096
106                  2.37096                  2.37096
107                  2.37096                  2.37096
108                  2.37096                  2.37096
109                  2.37096                  2.37096
110                  2.37096                  2.37096
111                  2.37096                  2.37096
112                  2.37096                  2.37096
113                  2.37096                  2.37096
114                  2.37096                  2.37096
115                  2.37096                  2.37096
116                  2.37096                  2.37096
117                  2.37096                  2.37096
118                  2.37096                  2.37096
119                  2.37096                  2.37096
120                  2.37096                  2.37096
121                  2.37096                  2.37096
122                  2.37096                  2.37096
123                  2.37096                  2.37096
124                  2.37096                  2.37096
125                  2.37096                  2.37096
126                  2.37096                  2.37096
127                  2.37096                  2.37096
128                  2.37096                  2.37096
129                  2.37096                  2.37096
130                  2.37096                  2.37096
131                  2.37096                  2.37096
132                  2.37096                  2.37096
133                  2.37096                  2.37096
134                  2.37096                  2.37096
135                  2.37096                  2.37096
136                  2.37096                  2.37096
137                  2.37096                  2.37096
138                  2.37096                  2.37096
139                  2.37096                  2.37096
140                  2.37096                  2.37096
141                  2.37096                  2.37096
142                  2.37096                  2.37096
143                  2.37096                  2.37096
144                  2.37096                  2.37096
145                  2.37096                  2.37096
