# generation:     mean_loss:           best_loss:
1                  8.45702                  6.15226
2                  6.85097                  5.70188
3                  5.92116                  4.88509
4                  5.29722                  4.36482
5                  4.63084                  3.99675
6                  4.18853                  3.74807
7                  3.89495                  3.48365
8                  3.61763                  3.23668
9                  3.40325                  2.80435
10                  3.01987                  2.58958
11                  2.72401                  2.50352
12                  2.53629                  2.44548
13                  2.48932                  2.44548
14                  2.44616                  2.30912
15                  2.39198                  2.24588
16                  2.29882                  2.10952
17                  2.18276                  1.95656
18                  2.08198                  1.87274
19                  1.94167                  1.83095
20                  1.85679                   1.8256
21                  1.82874                  1.80102
22                  1.81887                  1.79702
23                  1.80139                  1.79505
24                  1.79595                  1.71573
25                  1.76327                  1.68215
26                  1.69497                  1.63212
27                  1.66171                  1.61004
28                  1.62617                  1.60143
29                  1.60627                  1.58154
30                  1.59267                  1.52215
31                  1.55708                  1.50381
32                  1.51425                  1.46601
33                  1.48815                  1.39451
34                  1.43922                  1.39451
35                  1.39443                  1.37878
36                  1.38731                  1.37878
37                  1.37863                  1.36538
38                  1.37122                  1.36538
39                  1.36538                  1.36538
40                  1.36537                  1.36089
41                  1.36285                  1.19312
42                  1.30701                  1.19312
43                  1.19402                  1.10953
44                  1.15701                  1.06246
45                  1.08832                  1.05527
46                  1.05866                  1.05527
47                  1.05527                  1.05527
48                  1.05527                  1.05352
49                  1.05444                  1.05272
50                  1.05319                  1.05272
51                  1.05272                  1.05272
52                  1.05272                  1.05272
53                  1.05272                  1.05272
54                  1.05272                  1.05272
55                  1.05272                  1.05272
56                  1.05272                  1.05272
57                  1.05272                  1.05272
58                  1.05272                  1.05272
59                  1.05272                  1.05272
60                  1.05272                  1.05272
61                  1.05272                  1.05272
62                  1.05272                  1.04883
63                  1.05109                  1.04883
64                  1.04883                  1.04883
65                  1.04883                  1.04883
66                  1.04883                  1.04883
67                  1.04883                  1.04883
68                  1.04883                  1.04883
69                  1.04883                  1.04883
70                  1.04883                  1.04883
71                  1.04883                  1.04883
72                  1.04883                  1.04883
73                  1.04883                  1.04883
74                  1.04883                  1.04883
75                  1.04883                  1.04883
76                  1.04883                  1.04883
77                  1.04883                  1.04883
78                  1.04883                  1.04883
79                  1.04883                  1.04883
80                  1.04883                  1.04883
81                  1.04883                  1.04883
82                  1.04883                  1.04883
83                  1.04883                  1.04883
84                  1.04883                  1.04883
85                  1.04883                  1.04883
86                  1.04883                  1.04883
87                  1.04883                  1.04883
88                  1.04883                  1.04883
89                  1.04883                  1.04883
90                  1.04883                  1.04883
91                  1.04883                  1.04883
92                  1.04883                  1.04883
93                  1.04883                  1.04883
94                  1.04883                  1.04883
95                  1.04883                  1.04883
96                  1.04883                  1.04883
97                  1.04883                  1.04883
98                  1.04883                  1.04883
99                  1.04883                  1.04883
100                  1.04883                  1.04883
101                  1.04883                  1.04883
102                  1.04883                  1.04883
103                  1.04883                  1.04883
104                  1.04883                  1.04883
105                  1.04883                  1.04883
106                  1.04883                  1.04883
107                  1.04883                  1.04883
108                  1.04883                  1.04883
109                  1.04883                  1.04883
110                  1.04883                  1.04883
111                  1.04883                  1.04883
112                  1.04883                  1.04883
113                  1.04883                  1.04883
114                  1.04883                  1.04883
115                  1.04883                  1.04883
116                  1.04883                  1.04883
117                  1.04883                  1.04883
118                  1.04883                  1.04883
119                  1.04883                  1.04883
120                  1.04883                  1.04883
121                  1.04883                  1.04883
122                  1.04883                  1.04883
123                  1.04883                  1.04883
124                  1.04883                  1.04883
125                  1.04883                  1.04883
126                  1.04883                  1.04883
127                  1.04883                  1.04883
128                  1.04883                  1.04883
129                  1.04883                  1.04883
130                  1.04883                  1.04883
131                  1.04883                  1.04883
132                  1.04883                  1.04883
133                  1.04883                  1.04883
134                  1.04883                  1.04883
135                  1.04883                  1.04883
136                  1.04883                  1.04883
137                  1.04883                  1.04883
138                  1.04883                  1.04883
139                  1.04883                  1.04883
140                  1.04883                  1.04883
141                  1.04883                  1.04883
142                  1.04883                  1.04883
143                  1.04883                  1.04883
144                  1.04883                  1.04883
145                  1.04883                  1.04883
146                  1.04883                  1.04883
147                  1.04883                  1.04883
148                  1.04883                  1.04883
149                  1.04883                  1.04883
150                  1.04883                  1.04883
151                  1.04883                  1.04883
152                  1.04883                  1.04883
153                  1.04883                  1.04883
154                  1.04883                  1.04883
155                  1.04883                  1.04883
156                  1.04883                  1.04883
157                  1.04883                  1.04883
158                  1.04883                  1.04883
159                  1.04883                  1.04883
160                  1.04883                  1.04883
161                  1.04883                  1.04883
162                  1.04883                  1.04883
163                  1.04883                  1.04883
164                  1.04883                  1.04883
165                  1.04883                  1.04883
166                  1.04883                  1.04883
167                  1.04883                  1.04883
168                  1.04883                  1.04883
169                  1.04883                  1.04883
170                  1.04883                  1.04883
171                  1.04883                  1.04883
172                  1.04883                  1.04883
173                  1.04883                  1.04883
174                  1.04883                  1.04883
175                  1.04883                  1.04883
176                  1.04883                  1.04883
177                  1.04883                  1.04883
178                  1.04883                  1.04883
179                  1.04883                  1.04883
180                  1.04883                  1.04883
181                  1.04883                  1.04883
182                  1.04883                  1.04883
183                  1.04883                  1.04883
184                  1.04883                  1.04883
185                  1.04883                  1.04883
186                  1.04883                  1.04883
187                  1.04883                  1.04883
188                  1.04883                  1.04883
189                  1.04883                  1.04883
190                  1.04883                  1.04883
191                  1.04883                  1.04883
192                  1.04883                  1.04883
193                  1.04883                  1.04883
194                  1.04883                  1.04883
195                  1.04883                  1.04883
196                  1.04883                  1.04883
197                  1.04883                  1.04883
198                  1.04883                  1.04883
199                  1.04883                  1.04883
200                  1.04883                  1.04883
